ID,CompanyName,ContactName,PhoneNumber,City,State,Status,CompetitorWebsite,Notes
228,"Jay-Co Enterprises, LLC",Owner / Manager,+17137384525,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Jay-Co%20Enterprises%2C%20LLC&query_place_id=ChIJMXbiEbW5QIYREy2-20q8L1s
233,Kennebrew & Britton Development Group L.L.C,Owner / Manager,+18327841657,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Kennebrew%20%26%20Britton%20Development%20Group%20L.L.C&query_place_id=ChIJy-YP1UvBQIYRfkANquk8-CA
235,King cobra Roofing,Owner / Manager,+18322139042,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=King%20cobra%20Roofing&query_place_id=ChIJX-wzpFrDQIYRfcxmdxk-fmk
236,Kingdom Builders,Owner / Manager,+18325030598,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Kingdom%20Builders&query_place_id=ChIJcfLsjSXHQIYR-s-keynq_lk
237,LLA Roofing,Owner / Manager,+19362497612,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=LLA%20Roofing&query_place_id=ChIJ0VMHYo16D0kR4YbkZjhcWps
238,LNE Construction LLC,Owner / Manager,+17138591572,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=LNE%20Construction%20LLC&query_place_id=ChIJJxz3xpQgL4cR5KBZ6YhfnPQ
239,LOPEZ ROOFING RESTORATION,Owner / Manager,+18328863651,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=LOPEZ%20ROOFING%20RESTORATION&query_place_id=ChIJkb8wTQCXQIYRglSdkm9g-Y8
241,LSR EXPERTS,Owner / Manager,+18322829504,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=LSR%20EXPERTS&query_place_id=ChIJ-ZOWMkfJQIYRAaL2PhHwFgQ
245,Longhorn Building Material,Owner / Manager,+17132246660,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Longhorn%20Building%20Material&query_place_id=ChIJy_6HFMa5QIYRZRp7KxQzNjM
247,Lucy's Roofers,Owner / Manager,+12815093345,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Lucy's%20Roofers&query_place_id=ChIJJwb627HJQIYRjPSsNoKSLy8
248,López roofing and more...,Owner / Manager,+13467751159,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=L%C3%B3pez%20roofing%20and%20more...&query_place_id=ChIJ5dvqgBa_QIYRRu8dTJCrCAc
250,M&O contracting service corp,Owner / Manager,+18328779652,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=M%26O%20contracting%20service%20corp&query_place_id=ChIJp8zBh_S5QIYR3bfAQzZWLo0
252,M.C. Roofing & Remodeling,Owner / Manager,+18325525009,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=M.C.%20Roofing%20%26%20Remodeling&query_place_id=ChIJ1YUJUDbXRicR4g6XHMjKqRI
258,Major League Roofing,Owner / Manager,+17132590474,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Major%20League%20Roofing&query_place_id=ChIJ24nNOku5QIYRl1kb_IwN38M
261,MasterCraft Roofing,Owner / Manager,+17133370915,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=MasterCraft%20Roofing&query_place_id=ChIJAa5xG9C9QIYR3LoblyADa1c
262,Masters League Roofing LLC,Owner / Manager,+12816697214,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Masters%20League%20Roofing%20LLC&query_place_id=ChIJ4TJ904-Tm64RiTvyi_PEEyM
263,Matias's Roofing & Gutters,Owner / Manager,+12816063111,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Matias's%20Roofing%20%26%20Gutters&query_place_id=ChIJbwaxNgDDQIYRSskd34zhcPY
